David Hutchison,Darlene Ciuffetelli Parker
"Examination of Ontario Ministry curriculum documents and resources. Introduction to required teaching strategies and skills. Topics include servicing and maintenance of vehicles, aircraft, and/or watercraft. Development of knowledge and skills in construction and operation of vehicle/craft systems and maintenance/repairs. Use of practical and theoretical means to demonstrate the knowledge/skills/values needed to consider the impact of vehicles on human/social/environmental systems. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y62
The Teaching of Computer Technology I (Grades 9 and 10) Part 2,"Examination of Ontario Ministry, board and school curriculum documents and other resources. Introduction to the teaching strategies and skills required, focusing on computer systems, networking, and interfacing, electronics and robotics. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,EDBE 8Y63
The Teaching of Computer Technology I (Grades 9 and 10) Part 3,"Examination of Ontario Ministry, board and school curriculum documents and other resources. Introduction to the teaching strategies and skills required, focusing on computer systems, networking, and interfacing, electronics and robotics. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y65,"Professionalism, Law and Principles of Teaching Part 2"
"Connections between observation and experiences in field-based school placements to theory, practice and reflection. Foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Professional and legal responsibilities of Ontario educators and schools examined through the study of statutes, regulations, professional codes of ethics, and legal cases.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y66
"Professionalism, Law and Principles of Teaching Part 3","Connections between observation and experiences in field-based school placements to theory, practice and reflection. Foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Professional and legal responsibilities of Ontario educators and schools examined through the study of statutes, regulations, professional codes of ethics, and legal cases."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y92,Professional Collaborative Communities I: Technological Education
"Small supervised, practicum-based collaborative groups combining goal setting, professional practice and learning situated within the classroom context.",Restriction: open to students admitted to Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y93
Socioemotional/Physical Processes and the Exceptional Learner: Technological Education,"Addressing and integrating developmental domains, human development, and the characteristics of exceptional learners. Topics include socio-emotional development, mental health, communication exceptionalities, sociocultural diversity, physical and multiple exceptionalities."
Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8Y94,Professional Collaborative Communities II: Technological Education
"Small supervised, practicum-based collaborative groups combining goal setting, professional practice and learning situated within the classroom context.",Restriction: open to students admitted to the the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8Y95
Programming for the Inclusive Classroom: Technological Education,Restriction: open to students admitted to the Technological Education program with a minimum of 5.0 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8N15
Environmental/Outdoor Education,Approaches to and philosophies of outdoor/environmental education and its development. Application of skills and knowledge in curricular decision-making processes.
"Note: course not required for Outdoor Education teaching placement. An additional fee is levied for this course.This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8N20
Invention Literacy: Making and Makerspaces in the P/J/I Classroom,Effective teaching and learning strategies for integrating makerspaces into elementary school classrooms.
"Note: an additional fee is levied for this course.This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8N46
Special Topics-Early Primary Learning in Kindergarten Classrooms,Developmental experience of the young child and the philosophical and pedagogical foundations of the full-day kindergarten program.
"Note: this course is not required in order to request a kindergarten practicum placement. this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8N50
Religious Education (Roman Catholic) Primary/Junior/Intermediate/Senior,Introduction to the history of Catholic schools and education in Ontario and the theological and pedagogical underpinnings of religious education programs. Focus on integration of gospel values as foundational throughout the curriculum.
EDBE 8N55,The Occasional Teacher
"Addresses strategies that occasional teachers can employ to implement effective classroom management techniques, preparing to teach a wide range of subjects and grade levels.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8N58,Coaching School Athletes
